30032026	A	35001	750	241	8	8	0
30032026	B	35001	750	178	9	9	1
30032026	C	35001	750	325	3	4	0
30032026	A	35002	760	289	4	6	1
30032026	B	35002	760	246	3	10	1
30032026	C	35002	760	185	6	27	0
30032026	A	35003	754	282	10	2	0
30032026	B	35003	754	277	18	1	0
30032026	C	35003	754	314	13	3	0
30032026	A	35004	750	230	4	4	0
30032026	B	35004	750	318	4	3	0
30032026	C	35004	750	302	6	8	0
30032026	A	35005	835	270	19	4	1
30032026	B	35005	835	344	18	0	0
30032026	C	35005	835	370	4	0	0
30032026	A	35006	836	354	2	3	0
30032026	B	35006	836	385	3	5	0
30032026	C	35006	836	352	4	8	0
30032026	A	35007	833	343	8	1	1
30032026	B	35007	833	332	22	1	1
30032026	C	35007	833	316	13	3	4
30032026	A	35008	833	343	4	1	1
30032026	B	35008	833	328	5	3	0
30032026	C	35008	833	334	1	8	2
30032026	A	35009	753	81	6	4	0
30032026	B	35009	753	308	7	2	1
30032026	C	35009	753	297	10	1	0
30032026	A	35010	630	192	22	3	3
30032026	B	35010	630	119	14	11	0
30032026	C	35010	630	207	12	4	2
30032026	A	35011	670	262	0	4	0
30032026	B	35011	670	283	9	1	0
30032026	C	35011	670	277	0	5	0
30032026	A	35012	750	280	7	5	0
30032026	B	35012	750	306	14	5	1
30032026	C	35012	750	334	4	0	2
30032026	A	35013	835	266	27	7	1
30032026	B	35013	835	316	23	8	0
30032026	C	35013	835	315	17	1	0
30032026	A	35014	835	353	5	1	0
30032026	B	35014	835	377	7	3	0
30032026	C	35014	835	328	10	4	1
30032026	A	35015	835	323	9	6	0
30032026	B	35015	835	349	8	2	0
30032026	C	35015	835	298	6	2	2
30032026	A	35016	830	284	14	7	0
30032026	B	35016	830	344	18	4	0
30032026	C	35016	830	316	12	6	1
30032026	A	35017	625	243	3	1	0
30032026	B	35017	625	290	2	0	0
30032026	C	35017	625	263	5	2	0
30032026	A	35018	760	178	10	2	0
30032026	B	35018	760	291	2	2	0
30032026	C	35018	760	289	18	4	0
30032026	A	35019	622	109	3	24	0
30032026	B	35019	622	106	16	15	2
30032026	C	35019	622	182	8	14	3
30032026	A	35020	750	209	7	8	0
30032026	B	35020	750	248	2	5	0
30032026	C	35020	750	333	1	1	0
30032026	A	35021	860	365	3	3	0
30032026	B	35021	860	370	10	8	0
30032026	C	35021	860	325	14	1	0
30032026	A	35022	855	363	2	2	0
30032026	B	35022	855	356	5	8	2
30032026	C	35022	855	299	3	6	3
30032026	A	35023	835	344	1	4	0
30032026	B	35023	835	351	7	9	0
30032026	C	35023	835	301	12	8	1
30032026	A	35024	835	338	7	5	0
30032026	B	35024	835	349	8	8	0
30032026	C	35024	835	340	9	3	0
30032026	A	35025	752	272	7	6	0
30032026	B	35025	752	169	1	29	1
30032026	C	35025	752	334	2	2	0
30032026	A	35026	630	172	4	14	1
30032026	B	35026	630	189	4	16	1
30032026	C	35026	630	163	7	15	1
30032026	A	35027	750	204	26	8	1
30032026	B	35027	750	129	7	18	0
30032026	C	35027	750	65	1	6	2
30032026	A	35028	630	108	8	9	0
30032026	B	35028	630	202	10	7	0
30032026	C	35028	630	203	10	7	0
30032026	A	35029	760	312	8	1	0
30032026	B	35029	760	328	8	3	0
30032026	C	35029	760	322	6	2	1
30032026	A	35030	760	175	12	21	0
30032026	B	35030	760	197	35	18	2
30032026	C	35030	760	221	4	12	3
30032026	A	35031	835	334	6	1	2
30032026	B	35031	835	317	5	9	0
30032026	C	35031	835	308	2	6	0
30032026	A	35032	835	315	1	5	1
30032026	B	35032	835	254	19	11	4
30032026	C	35032	835	365	2	1	0
30032026	A	35033	630	244	6	1	0
30032026	B	35033	630	201	17	13	0
30032026	C	35033	630	268	5	0	0
30032026	A	35034	760	287	1	7	0
30032026	B	35034	760	330	3	5	2
30032026	C	35034	760	299	13	3	0
30032026	A	35035	750	283	9	2	0
30032026	B	35035	750	314	4	8	0
30032026	C	35035	750	300	6	3	0
30032026	A	35036	760	263	2	8	0
30032026	B	35036	760	291	8	3	1
30032026	C	35036	760	306	8	1	0
30032026	A	35037	830	284	10	8	2
30032026	B	35037	830	299	21	3	1
30032026	C	35037	830	319	8	3	1
30032026	A	35038	760	280	5	5	3
30032026	B	35038	760	217	5	17	3
30032026	C	35038	760	282	6	8	1
30032026	A	35039	760	244	5	8	0
30032026	B	35039	760	265	10	6	0
30032026	C	35039	760	307	3	2	0
30032026	A	35040	835	314	8	4	3
30032026	B	35040	835	292	6	6	2
30032026	C	35040	835	360	4	2	0
30032026	A	35041	757	184	6	8	0
30032026	B	35041	757	302	6	5	0
30032026	C	35041	757	289	5	3	0
30032026	A	35042	630	238	6	3	0
30032026	B	35042	630	282	6	0	0
30032026	C	35042	630	269	0	0	0
30032026	A	35043	760	304	4	0	0
30032026	B	35043	760	342	3	0	0
30032026	C	35043	760	291	12	5	0
30032026	A	35044	750	209	17	4	0
30032026	B	35044	750	291	20	0	0
30032026	C	35044	750	220	24	1	1
30032026	A	35045	835	322	7	5	0
30032026	B	35045	835	307	7	3	0
30032026	C	35045	835	300	9	9	0
30032026	A	35046	761	272	5	7	1
30032026	B	35046	761	308	6	6	2
30032026	C	35046	761	320	14	1	0
30032026	A	35047	760	265	3	16	2
30032026	B	35047	760	305	9	3	3
30032026	C	35047	760	339	2	3	0
30032026	A	35048	750	307	6	1	0
30032026	B	35048	750	259	18	7	1
30032026	C	35048	750	265	0	14	0
30032026	A	35049	618	198	13	3	0
30032026	B	35049	618	168	10	9	1
30032026	C	35049	618	211	16	6	0
30032026	A	35050	750	122	23	5	0
30032026	B	35050	750	264	18	5	0
30032026	C	35050	750	233	23	0	0
30032026	A	35051	760	261	8	1	1
30032026	B	35051	760	343	5	1	0
30032026	C	35051	760	285	13	2	0
30032026	A	35052	750	310	5	3	0
30032026	B	35052	750	315	4	3	1
30032026	C	35052	750	304	3	4	0
30032026	A	35053	751	305	3	3	2
30032026	B	35053	751	219	11	7	0
30032026	C	35053	751	295	1	4	0
30032026	A	35054	750	247	5	9	1
30032026	B	35054	750	280	4	3	0
30032026	C	35054	750	203	11	20	0
30032026	A	35055	760	164	12	20	2
30032026	B	35055	760	330	4	2	1
30032026	C	35055	760	299	8	6	1
30032026	A	35056	750	295	5	2	1
30032026	B	35056	750	300	4	4	0
30032026	C	35056	750	319	9	1	2
30032026	A	35057	750	271	8	4	0
30032026	B	35057	750	235	12	7	0
30032026	C	35057	750	262	9	4	1
30032026	A	35058	630	221	6	11	0
30032026	B	35058	630	185	21	8	0
30032026	C	35058	630	189	3	14	1
30032026	A	35059	750	220	5	17	0
30032026	B	35059	750	242	4	9	0
30032026	C	35059	750	270	6	7	3
30032026	A	35060	750	299	14	0	0
30032026	B	35060	750	288	22	1	0
30032026	C	35060	750	329	6	1	0
30032026	A	35061	750	265	20	5	0
30032026	B	35061	750	249	39	21	0
30032026	C	35061	750	257	3	5	0
30032026	A	35062	750	295	12	3	0
30032026	B	35062	750	249	29	2	0
30032026	C	35062	750	263	3	4	0
30032026	A	35063	750	301	10	4	0
30032026	B	35063	750	338	6	0	0
30032026	C	35063	750	284	4	4	1
30032026	A	35064	630	250	3	2	0
30032026	B	35064	630	265	5	5	0
30032026	C	35064	630	202	2	6	2
30032026	A	35065	750	307	9	2	0
30032026	B	35065	750	278	32	4	2
30032026	C	35065	750	313	5	2	1
30032026	A	35066	750	246	8	3	0
30032026	B	35066	750	330	12	2	0
30032026	C	35066	750	279	10	3	0
30032026	A	35067	750	299	5	4	0
30032026	B	35067	750	265	3	18	2
30032026	C	35067	750	302	4	4	0
30032026	A	35068	750	306	7	2	0
30032026	B	35068	750	332	14	2	0
30032026	C	35068	750	323	6	0	0
30032026	A	35069	747	271	5	11	1
30032026	B	35069	747	335	9	1	0
30032026	C	35069	747	276	12	4	0
30032026	A	35070	630	239	9	4	0
30032026	B	35070	630	264	12	4	1
30032026	C	35070	630	255	6	4	1
30032026	A	35071	630	245	7	4	0
30032026	B	35071	630	196	21	13	0
30032026	C	35071	630	129	8	18	0
30032026	A	35072	630	224	2	5	1
30032026	B	35072	630	96	30	11	2
30032026	C	35072	630	113	4	12	1
30032026	A	35073	750	157	7	8	0
30032026	B	35073	750	312	17	2	0
30032026	C	35073	750	310	15	0	0
30032026	A	35074	760	227	23	9	0
30032026	B	35074	760	240	39	12	0
30032026	C	35074	760	244	14	7	0
30032026	A	35075	630	156	1	26	0
30032026	B	35075	630	131	6	10	0
30032026	C	35075	630	275	5	1	0
30032026	A	35076	630	120	5	17	0
30032026	B	35076	630	84	2	17	0
30032026	C	35076	630	261	5	3	0
30032026	A	35077	750	264	8	1	1
30032026	B	35077	750	174	7	17	0
30032026	C	35077	750	175	8	9	0
30032026	A	35078	750	299	12	2	0
30032026	B	35078	750	309	7	8	0
30032026	C	35078	750	224	9	8	0
30032026	A	35079	700	296	4	3	1
30032026	B	35079	700	282	5	3	0
30032026	C	35079	700	239	5	7	0
30032026	A	35080	750	281	6	2	0
30032026	B	35080	750	333	18	0	1
30032026	C	35080	750	259	3	2	0
